city,min_distance
Abancourt,119.88479209114273
Aboncourt,104.24747748286214
Abzac,136.9734049466486
Achères,189.03107177366135
Acqueville,123.04639095625863
Agnières,86.78501601340011
Aiglun,66.79396451883088
Aigremont,140.60597503295915
Aigueperse,99.10799900796795
Aigues-Vives,25.90624290404087
Ainvelle,35.70384328303761
Aix,546.2725147866859
Aix-en-Provence,0.0
Ajaccio,0.0
Alaincourt,284.65861673821
Albas,202.35978439595436
Albiac,134.89797960090752
Albiez-Montrond,0.0
Allainville,52.84826905712214
Allemant,81.86404081269094
Alleyrat,46.247357619359704
Allonne,364.84480852112665
Allonnes,75.49439826826004
Allons,532.9754128242864
Ally,78.59057147818011
Alos,137.27997981663347
Amance,107.1814268049436
Ambleville,425.39994734683216
Amfreville,86.21218700697536
Amfreville-les-Champs,56.35116740547305
Amiens,0.0
Amilly,114.5430686472694
Anais,98.00433281120505
Ancerville,109.3843322203754
Anché,88.10071914591973
Andilly,263.99237757552373
Angers,0.0
Angerville,181.67062581038124
Angles,682.820218422068
Angliers,116.01188552367897
Annay,325.553338736083
Antignac,320.0759202679777
Antigny,124.79528293524915
Antilly,237.89110744599043
Antras,102.1382907816729
Apremont,80.04826201079834
Arcey,141.08772602233816
Arches,448.11060797742323
Ardon,323.63564003299933
Argelos,27.087413913467834
Arguel,431.42375429387664
Armancourt,34.159262392673135
Arpheuilles,98.68890857641493
Arques,155.41561873087295
Arry,344.1784559574552
Ars,195.35548215585587
Artigues,15.151089198041161
Artix,176.9869831221045
Arue,15893.175496551243
Arville,120.04595359484448
Arçay,177.05567854390011
Asnois,282.33573327869607
Aspach,114.63937693565828
Aspremont,144.57669026915514
Asques,152.36177415036457
Assigny,303.926360121482
Athie,20.005951344858552
Athies,50.81734949397825
Athée,481.34732248213174
Attigny,190.24791278948248
Aube,425.9184815764453
Aubiac,73.80092641546965
Aubigny,103.30380613299276
Aubigné,273.40419294516005
Aubin,245.15818403107664
Aubusson,374.5183606089916
Aucamville,22.980625605345598
Auge,427.6347819276133
Augy,174.84556603596553
Aujac,384.86631749542374
Aulnay,103.99122386273345
Aulon,56.94594320479292
Aumont,429.7139062820259
Aureilhan,149.79263008040687
Aurel,63.844497042128104
Aurensan,42.054293748959815
Auriac,236.24517380621933
Auterive,41.83244387803658
Auteuil,58.97117300722245
Autheuil,77.73964183015107
Authie,234.13866449169765
Authon,554.6419846761584
Autreville,226.7593934849578
Autrey,48.982839711228884
Auvers,597.3140803085072
Auxon,174.49048400125238
Auxy,194.6781615567352
Avançon,569.7072446359698
Avignon,6.89151103921182
Avillers,117.57589415849867
Avoine,164.35414809883451
Avon,306.039340469416
Avrainville,48.73378550455597
Avricourt,0.5973680169544299
Avrilly,136.39472175956612
Avrillé,134.14560319893235
Avèze,197.51010523929747
Azé,126.16539862589478
Bages,58.07840857566855
Bagneux,21.036103140140636
Bagnols,160.75437069084896
Baigneaux,56.9200877417987
Bailleul,100.65987565324924
Bailly,97.8056760619873
Bais,74.00359453567863
Balan,428.70534580432155
Ballon,252.2449321844581
Bannay,175.89018108501043
Bannes,148.87879566410737
Barbery,221.69936835606728
Barby,456.714571120706
Barges,93.4459716020129
Barjac,77.75296573753134
Barly,20.465762183686973
Baron,271.34377563924664
Bars,186.8305458994066
Barsac,444.61869270065347
Barville,75.58124631875253
Basse-Terre,13400.624910857881
Bassens,512.5328318927016
Bastia,0.0
Batilly,452.8609199341751
Baubigny,555.3266417901269
Baudrecourt,126.43541343233504
Baudreville,281.38580937683145
Baugy,0.0
Baume-les-Messieurs,0.0
Bay,295.94812814662225
Baye,556.9694456174404
Bazancourt,177.65159337831122
Beaucaire,341.8622500153321
Beauchamps,246.34761885664423
Beauchêne,150.11074310233687
Beaufort,134.48053000834048
Beaujeu,258.29147332108386
Beaulieu,60.52346490856704
Beaumesnil,124.36893839959062
Beaumont,52.547595332556135
Beaumont-Pied-de-Boeuf,64.50378205587143
Beaune,234.07138023917506
Beaupuy,21.835420289296316
Beauregard,296.5632356386682
Beaurepaire,175.24418105418346
Beaurieux,91.4482189215363
Beauvallon,83.0703977658287
Beauville,114.63123976994599
Beauvilliers,59.154380819824375
Beauvoir,101.8718735036542
Beauvoisin,96.1424134701946
Becquigny,70.59325391602144
Belcastel,94.34849766759291
Belleau,213.3389018762595
Bellefond,498.5476405225488
Bellefontaine,164.3448279700011
Bellegarde,143.59204250029032
Bellengreville,135.2202709620055
Belleville,317.8149530369599
Belmont,62.6982797925797
Belval,232.91593454692236
Berlancourt,50.833804221075845
Bernac,273.8961003889402
Berneuil,49.84964740880959
Berville,100.05781563431476
Besse,108.94084618337534
Beuvillers,413.0431874356305
Bey,67.32299074643896
Beynes,635.9135901289387
Bias,153.8301354595912
Billy,187.41905012109268
Birac,127.14764384034943
Biron,148.8952678373635
Bitry,213.79472823824923
Bize,668.4686975428061
Bièvres,112.53307967278
Blacy,133.76961291043008
Blaise,125.30458208332517
Blandy,47.96801011097539
Blanot,86.36498252824877
Blanquefort,179.45937785155527
Blanzac,241.40098743037407
Bligny,126.35139342486076
Blécourt,245.67517686206585
Blémerey,56.324906369067534
Bois-d'Arcy,188.1773638454365
Bois-le-Roi,109.59952883323167
Boisemont,46.929067285524695
Boismont,303.40274457207937
Boisset,148.908281133621
Boissey,0.0
Boissières,242.2524894290916
Boitron,223.73712874682622
Bolleville,158.3633450965414
Bompas,108.58948897728679
Boncourt,23.038233350338082
Bonnac,259.1485494779079
Bonnay,139.33510181181938
Bonnes,155.52480293124805
Bonneuil,138.1402786593102
Bonneval,213.24584275137357
Bonnevaux,67.90935972129466
Bonneville,500.52420711268275
Bonnières,84.3801204833536
Bonson,299.29182273836784
Boos,633.4576546044592
Bordeaux,0.0
Bordes,41.35772813104957
Borne,56.476444119998
Boucé,374.02463195342006
Bouillac,100.7425162604034
Bouilly,35.69071342892048
Bouin,181.44311539932818
Bouloc,61.869538567169
Bourg,545.2999825011065
Bourgneuf,565.8045620539266
Bournazel,48.67329336802077
Bours,817.0693014420027
Boussac,50.54821621438996
Boussay,159.66157941213254
Bousse,491.1712908496556
Bouville,70.00827362010494
Bouvron,594.0944260884787
Bouxwiller,146.8619114213355
Boyer,75.34641301053799
Brainville,533.1350569799617
Branne,587.2143195221638
Brassac,108.73171304078181
Brassy,308.0749665238224
Braux,119.47670127528083
Brax,85.73390805963567
Bray,410.0739174305339
Brens,362.28217441780856
Bressolles,155.87230788955216
Bretagne,407.180326438908
Breteuil,133.76561813154922
Breuil,75.5191662184049
Breuillet,402.5016785337417
Briaucourt,89.85454508710563
Brie,50.23767686168252
Brignac,675.7560794721272
Brinay,120.51902274190255
Brion,99.03469564899567
Brognon,288.1767761243817
Brousse,88.0807107949849
Broyes,135.72936798984628
Brécy,232.99577355499096
Brétigny,181.3765767308567
Brévillers,29.604704508381566
Buc,369.5088087002963
Buchy,364.31062766668344
Buhl,125.63405729029476
Bully,45.61332221864007
Burcy,255.23896848379306
Bures,455.42436170867836
Bussières,65.00316684542412
Bussy,303.8148910779284
Bussy-la-Pesle,93.83653410185724
Bussy-le-Repos,146.6607313989778
Buthiers,289.4549370166989
Buxerolles,370.7452972017557
Buxeuil,78.81376358935208
Buzancy,117.38483312766284
Bédeille,101.81616143371762
Bélesta,58.79416418946524
Bénac,124.57446319505296
Bénouville,65.72785858382558
Béon,298.4724766081466
Cabanès,58.380920301587025
Cabrières,96.42923046280663
Cagny,204.23349355346235
Cahuzac,36.05796174434525
Callian,522.591882842193
Calmont,128.2599630927893
Calès,57.680371337344475
Cambes,61.51974483590441
Camon,763.7601721770112
Campagnac,108.30251902538362
Campagne,172.67018229584778
Campeaux,209.1206370879159
Campigny,99.38590729412061
Campouriez,0.0
Canapville,42.17433134747961
Canchy,226.96364367017034
Canet,66.50145399652075
Cannes,0.0
Canteloup,105.22670956956269
Caro,531.2138722693851
Cassagnes,234.14157610876995
Cassagnoles,140.79795261374298
Castagnède,166.25976962850496
Castanet,27.158420025595593
Castex,84.6853463524948
Castillon,51.60058495400876
Castres,693.2815173410014
Caubous,44.259255383718695
Caumont,96.14644689759098
Caurel,541.8470548087519
Cazalis,82.82561499146944
Cazals,70.01947807624119
Cazilhac,136.09415786739888
Celles,70.2194098559305
Cellettes,207.68242563057933
Cerdon,293.001226177791
Cergy,0.0
Cernay,97.66007794506393
Cernon,288.50563614313245
Cervières,255.40156632579544
Cescau,135.91320108179661
Chagny,296.527301482818
Chalais,74.2682487638802
Chalancon,0.0
Chamboeuf,189.29935536590855
Chambois,0.056021671176150575
Chambon,115.55330752985176
Chambord,157.21909942114453
Chambry,86.05367343043397
Champagnac,217.9582576501041
Champagnat,244.46119388175387
Champagne,375.83314435184235
Champagney,29.495159369253415
Champclause,0.0
Champeaux,67.7438211541597
Champfleury,64.73978602206759
Champignolles,353.5370619349277
Champigny,122.170702986807
Champlin,296.4794533580621
Champniers,56.808124431443545
Champs,224.14137862560165
Champvans,33.61823332064984
Changy,40.69102096194058
Changé,80.82610287357292
Chanteloup,104.02636309802611
Chappes,61.945543168300134
Charbonnières,356.545503343496
Charencey,321.1150128288552
Charentenay,173.37712265692096
Charleval,694.2386646147363
Charly,210.1693638825783
Charmes,60.47622510307069
